gCategory,gName,gAddress,gNumber
합기도,강호합기도,인천광역시 미추홀구 용현동 611-40 ,032-883-3593
태권도,한미태권도장,인천광역시 미추홀구 주안동 1307-6 ,032-437-6508
태권도,용인대동양체육관,인천광역시 미추홀구 주안동 1417-64 정현빌딩 ,032-437-6509
태권도,한국체대도담태권도장,인천광역시 미추홀구 주안동 750-5 ,032-867-7764
태권도,연세경인태권도,인천광역시 미추홀구 주안동 555-2 ,032-872-5695
태권도,석사체육관,인천광역시 미추홀구 주안동 677-4 금호빌딩 ,032-864-1745
태권도,도산태권도장,"인천광역시 미추홀구 주안동 1250-1 1250-1,1367-85 ",032-424-7680
태권도,신일태권도장,인천광역시 미추홀구 주안동 18-7 ,032-424-7681
골프,J스크린골프,인천광역시 미추홀구 도화동 622-4 ,032-866-1588
골프,비젼스크린골프&아카데미,인천광역시 미추홀구 용현동 665-12 ,032-885-0777
골프,한국골프아카데미,인천광역시 미추홀구 학익동 672-4 ,032-885-0778
골프,도화 킹스크린,인천광역시 미추홀구 도화동 37-14 ,032-885-0779
골프,킹 골프존,인천광역시 미추홀구 도화동 37-14 ,032-885-0780
골프,우리동네 골프연습장,인천광역시 미추홀구 주안동 130-5 덕진빌딩 ,032-434-0113
골프,미래 골프 연습장,인천광역시 미추홀구 도화동 704-18 ,032-434-0114
골프,더 힐스토리,인천광역시 미추홀구 문학동 482 문학경기장 ,032-434-0115
골프,SG스크린골프,인천광역시 미추홀구 주안동 1571 스카이타운 ,032-434-0116
골프,헬로우짐 주안점,인천광역시 미추홀구 주안동 989-1 르네상스빌딩 ,032-434-0117
골프,스윙스 골프,인천광역시 미추홀구 도화동 997-3 ,032-434-0118
헬스,세종헬스,"인천광역시 미추홀구 주안동 1543-11 1543-11,12 ",032-432-5500
헬스,대왕헬스클럽,인천광역시 미추홀구 숭의동 105-6 ,032-763-9700
헬스,CBBM휘트니스센타,인천광역시 미추홀구 용현동 492-3 ,032-763-9701
헬스,"삼성남,녀스포츠센터","인천광역시 미추홀구 주안동 1436-30 1436-30,31 ",032-868-3355
요가,김희정 요가헬스,인천광역시 미추홀구 주안동 130-9 ,032-421-5599
헬스,홍 휘트니스,인천광역시 미추홀구 주안동 29-4 강남메디칼타워 ,070-8192-2100
헬스,와이짐 휘트니스,인천광역시 미추홀구 주안동 1497 ,032-209-9600
헬스,비타민 헬스,인천광역시 미추홀구 용현동 627-410 ,032-881-8254
헬스,THE GYM,인천광역시 미추홀구 주안동 1572-19 ,032-881-8255
헬스,애플비,인천광역시 미추홀구 주안동 956-1 ,032-881-8256
헬스,피트니스포텐,인천광역시 미추홀구 용현동 628-62 ,032-881-0789
헬스,쉬스토리짐,인천광역시 미추홀구 주안동 1621 ,032-271-5777
헬스,GOOd LIFE FITNESS,인천광역시 미추홀구 주안동 46-1 ,032-428-1023
헬스,무지개헬스클럽,인천광역시 미추홀구 학익동 ,032-866-9700
헬스,다빠짐,인천광역시 미추홀구 용현동 622-121 ,032-832-8788
헬스,카브짐,인천광역시 미추홀구 학익동 661-9 ,032-832-8789
헬스,투엠짐,인천광역시 미추홀구 용현동 ,032-435-0808
헬스,원 헬스클럽,인천광역시 미추홀구 주안동 890-1 ,032-435-0809
당구,플러스 당다트,인천광역시 미추홀구 주안동 137-4 주안빌딩 ,032-428-1024
당구,하나로 당구 클럽,인천광역시 미추홀구 용현동 628-62 풍림하나로쇼핑센타 ,032-428-1025
당구,오렌지 당구장,인천광역시 미추홀구 학익동 321-6 임씨빌딩 ,032-428-1026
당구,JS당구클럽,인천광역시 미추홀구 도화동 377-4 ,032-428-1027
당구,준 당구장,인천광역시 미추홀구 숭의동 431-5 ,032-428-1028
당구,O.K 당구장,인천광역시 미추홀구 주안동 749-3 성민빌딩 ,032-428-1029
당구,구구 당구장,인천광역시 미추홀구 주안동 16-69 ,032-428-1030
당구,VIP 당구장,인천광역시 미추홀구 숭의동 433-5 ,032-428-1031
당구,국제 당구장,인천광역시 미추홀구 숭의동 160-52 ,032-428-1032
당구,다국적 당구클럽,인천광역시 미추홀구 용현동 628-54 ,032-428-1033
당구,투 당구장,인천광역시 미추홀구 주안동 1486 ,032-428-1034
당구,석 당구장,인천광역시 미추홀구 주안동 1588-3 ,032-428-1035
당구,MBC당구클럽,인천광역시 미추홀구 주안동 79-10 한우촌 ,032-428-1036
당구,이준석 당구 아카데미,인천광역시 미추홀구 숭의동 204-19 청송빌딩 ,032-428-1037
당구,장안당구장,인천광역시 미추홀구 숭의동 162-1 ,032-428-1038
당구,허리우드 당구장,인천광역시 미추홀구 주안동 143-8 테마타운 ,032-428-1039
당구,당구존 파크,인천광역시 미추홀구 주안동 72-11 ,032-428-1040
당구,피플 대대 전용 클럽,인천광역시 미추홀구 용현동 459-30 ,032-428-1041
썰매 ,문학눈썰매장,인천광역시 미추홀구 문학동 482 문학경기장 ,032-428-1042
댄스,인천댄스스포츠학원,인천광역시 미추홀구 주안동 1005-1 국도극장 ,032-428-1043
댄스,덕화무도학원,인천광역시 미추홀구 주안동 199-7 하이파크장 ,032-867-9130
댄스,신명나 무도학원,인천광역시 미추홀구 주안동 993-10 ,032-867-9131
댄스,상록수무도학원,인천광역시 미추홀구 숭의동 283-13 ,032-867-9132
댄스,중앙무도학원,인천광역시 미추홀구 주안동 197-24 ,032-432-3355
댄스,국제무도학원,인천광역시 미추홀구 용현동 459-53 ,032-887-8897
댄스,석바위댄스학원,인천광역시 미추홀구 주안동 1005-9 ,032-426-1385
댄스,박길신.송수진 댄스스포츠,인천광역시 미추홀구 주안동 206-10 영빌딩 ,032-426-1386
야구,리얼야구존,인천광역시 미추홀구 용현동 627-463 ,032-426-1387
복싱,간석복싱헬스클럽,간석1동 281-8 리치빌딩 5층 간석복싱 헬스클럽,0507-1466-8897
복싱,브레인킥복싱체육관,인천 남동구 구월로 366-1,0507-1425-9090
탁구,논현일레븐탁구전문체육관,인천 남동구 논고개로123번길 17,032-421-0945
무에타이,드림킥복싱무에타이체육관,인천 남동구 경원대로 933,0507-1420-0406
유아스포츠,웨일테일스포츠 유아체육,인천 남동구 논고개로 114 801호,032-424-7760
특공무술,특공무술백호체육관,인천 남동구 인주대로 785 원하빌딩 4층,032-461-5513
폴댄스,대한폴댄스연맹 인천점,인천 남동구 인하로507번길 76,0507-1407-8295
발레,체케티발레무용학원,인천 남동구 서창남로 69,0507-1449-0705
벨리댄스,허나리벨리댄스아카데미,인천 남동구 문화서로3번길 31 소꿉어린이집,032-423-9811
주짓수,구월동 건 주짓수,인천 남동구 독점로30번길 1 에이스프라자 3층 구월동 건주짓수,032-467-2200
유도,대한상덕유도체육관,인천 동구 금곡로 9-1,032-889-8686
검도,송현검도관,인천 동구 송현로 33,032-772-7776
줄넘기,점프스타줄넘기클럽,인천 동구 제물량로 424 3층 점프스타줄넘기클럽,010-8390-4181
수영,송림체육관수영장,인천 동구 염전로 30 송림체육관,032-998-2093
격투기,체대해성태권스쿨,인천 동구 동산로 80-1,032-764-6642
유아스포츠,좋은아이들 유아체육교실,인천 동구 봉수대로96번길 61,02-6671-0002
태권도,하나체육관,인천 동구 화수로 43,032-766-2821
무용,에뚜왈무용학원,인천 동구 송림로 24,0507-1381-0418
합기도,태풍합기도,인천 동구 샛골로 182,032-763-6694
태권도,엔젤태권도아카데미,인천 동구 송미로 6,032-766-1117
